ID,Name,Popularity,Artists
4nc6XiUze2Yh7wFueGOPv7,"Chaleya (From ""Jawan"")",83,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar"
2wAiFWjRupWmnDkQcu91MF,Rumah Ke Rumah,80,Hindia
7J0isBrUxhIYZVdrBOOlIh,Cincin,78,Hindia
2dIBMHByUGcNPzmYBJ6OAj,Evaluasi,78,Hindia
5drW6PGRxkE6MxttzVLNk5,Secukupnya,76,Hindia
56zZ48jdyY2oDXHVnwg5Di,Tum Hi Ho,75,Arijit Singh
3CBxVM0zGj41BQtE6m7gwb,Membasuh,70,"Hindia, Rara Sekar"
1bcIiU5FWRa2IYBqx0bk67,Evakuasi,69,Hindia
5d6K5YMfby3mRfsTeTxUV3,Laagi Lagan Shankara - Hindi,68,Hansraj Raghuwanshi
3kj14iUwv0rvTweOr9P2ut,Mata Air,68,"Hindia, Natasha Udu, Kamga"
3F0I9AkbRwz12yz7Hxn0bF,Oh Ho Ho Ho (Remix),66,"Sukhbir, Ikka"
2SmKwCCSiUTjtR8I8rv6MS,"Berdansalah, Karir Ini Tak Ada Artinya",66,Hindia
46lON8zSSaelA2Xl44HxRL,Hindi Na Nga,65,This Band
64G8ywuyGGQl4S7U2a6XJf,Hindi Tayo Pwede,64,The Juans
7CXBhqBSbHNgecVX6aguUp,Sa Hindi Pag-Alala,64,Munimuni
08OPqLv99g8avzmxQepmiw,Besok Mungkin Kita Sampai,64,Hindia
2LQZ32XuFlkcoEUDSG6BMT,Untuk Apa / Untuk Apa?,64,Hindia
1XabvPK1VQEH4YqzDovs46,Forgot Password,63,"Hindia, Nadin Amizah"
1AAmQJO43qsQGc1pWRmTxN,Beautiful Tango - Unplugged,62,Hindi Zahra
3QZgiXw3VyeSfFnhY7zpj1,Bayangkan Jika Kita Tidak Menyerah,62,Hindia
44QCycNgqPxNaij2BrA9H3,"Chhupana Bhi Nahin Aata - From ""Baazigar- Hindi""",62,Vinod Rathod
5Nd4DTIDWYkkZfi1NpgvJk,Suit Suit,61,"Guru Randhawa, Arjun"
70fA3vjK2r6kpHrN6adr9q,Ride It (Kya Yehi Pyaar Hai) - Hindi Version,61,Jay Sean
1ZGLauVoD74BU8y8O5btcO,Zakir,59,NAALAYAK
5DqSZFvWvSWg5eyCDi0CuW,Kita Ke Sana,58,Hindia
4FERIZkT9xabNYCgTyMErn,Hindi Magbabago,57,Randy Santiago
26iZgiCSejmjrSBoimJbxu,Imik Si Mik - Remastered Version,57,Hindi Zahra
0JkJLhizW12li6KJNFDryx,Nabi Palsu,57,Hindia
